week,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
1,Michigan State,Toledo,FALSE,-7.4,-10.5,10.5,-17.9,NA,NA,49.5,NA,NA,NA,NA,Toledo +10.5,"early-season (top-2 by edge, outside wk5+ window)"
1,Stanford,Miami,FALSE,-37.4,21.5,-21.5,-15.9,NA,NA,48.5,NA,NA,NA,NA,Miami -21.5,"early-season (top-2 by edge, outside wk5+ window)"
1,Ole Miss,Louisville,TRUE,24.2,-8.5,8.5,15.7,NA,NA,52.5,NA,NA,NA,NA,NA,NA
1,Notre Dame,Wisconsin,TRUE,32,-16.5,16.5,15.5,NA,NA,47,NA,NA,NA,NA,NA,NA
1,Ohio State,Ball State,FALSE,63.3,-50,50,13.3,NA,NA,56.5,NA,NA,NA,NA,NA,NA
1,Nebraska,Ohio,FALSE,11.9,-23.5,23.5,-11.6,NA,NA,47.5,NA,NA,NA,NA,NA,NA
1,Michigan,Western Michigan,FALSE,15.1,-26.5,26.5,-11.4,NA,NA,47.5,NA,NA,NA,NA,NA,NA
1,Oregon,Boise State,FALSE,35,-24.5,24.5,10.5,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,Penn State,Marshall,FALSE,13.8,-23.5,23.5,-9.7,NA,NA,54.5,NA,NA,NA,NA,NA,NA
1,Texas,Texas State,FALSE,21.2,-30.5,30.5,-9.3,NA,NA,59.5,NA,NA,NA,NA,NA,NA
1,Auburn,Baylor,TRUE,16.1,-7,7,9.1,NA,NA,58.5,NA,NA,NA,NA,NA,NA
1,USC,Fresno State,FALSE,14.5,-23.25,23.25,-8.8,NA,NA,51.5,NA,NA,NA,NA,NA,NA
1,Illinois,UAB,FALSE,19.2,-27.5,27.5,-8.3,NA,NA,56.5,NA,NA,NA,NA,NA,NA
1,James Madison,Liberty,FALSE,14,-6,6,8,NA,NA,50.5,NA,NA,NA,NA,NA,NA
1,Indiana,North Texas,FALSE,32.6,-40.5,40.5,-7.9,NA,NA,55.5,NA,NA,NA,NA,NA,NA
1,LSU,Clemson,FALSE,3.8,-11.5,11.5,-7.7,NA,NA,51.5,NA,NA,NA,NA,NA,NA
1,New Mexico,Central Michigan,FALSE,5.2,-12.5,12.5,-7.3,NA,NA,49,NA,NA,NA,NA,NA,NA
1,California,UCLA,FALSE,-4,-2.5,2.5,-6.5,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,Washington,Washington State,FALSE,15,-21.5,21.5,-6.5,NA,NA,50.5,NA,NA,NA,NA,NA,NA
1,Georgia Tech,Colorado,FALSE,1,-7,7,-6,NA,NA,51.5,NA,NA,NA,NA,NA,NA
1,Troy,Sam Houston,FALSE,11.4,-17.25,17.25,-5.8,NA,NA,50.5,NA,NA,NA,NA,NA,NA
1,Texas A&M,Missouri State,FALSE,44.1,-38.5,38.5,5.6,NA,NA,52.5,NA,NA,NA,NA,NA,NA
1,Nevada,Western Kentucky,FALSE,-9.8,4.25,-4.25,-5.6,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,Memphis,Arkansas State,FALSE,15.9,-10.5,10.5,5.4,NA,NA,55.5,NA,NA,NA,NA,NA,NA
1,Oklahoma,UTEP,FALSE,35.2,-40.5,40.5,-5.3,NA,NA,50.5,NA,NA,NA,NA,NA,NA
1,Florida State,SMU,FALSE,-7.8,2.5,-2.5,-5.3,NA,NA,52.5,NA,NA,NA,NA,NA,NA
1,Hawai'i,UNLV,FALSE,-6.4,1.5,-1.5,-4.9,NA,NA,58.5,NA,NA,NA,NA,NA,NA
1,Houston,Oregon State,FALSE,14.1,-18.5,18.5,-4.4,NA,NA,51.5,NA,NA,NA,NA,NA,NA
1,Iowa,Northern Illinois,FALSE,25.1,-29.5,29.5,-4.4,NA,NA,43.5,NA,NA,NA,NA,NA,NA
1,South Carolina,Kent State,FALSE,38.3,-34,34,4.3,NA,NA,52.5,NA,NA,NA,NA,NA,NA
1,Colorado State,Wyoming,FALSE,-0,-4,4,-4,NA,NA,47.5,NA,NA,NA,NA,NA,NA
1,Mississippi State,UL Monroe,FALSE,24.6,-28.5,28.5,-3.9,NA,NA,55.5,NA,NA,NA,NA,NA,NA
1,Pittsburgh,Miami (OH),FALSE,13,-16.5,16.5,-3.5,NA,NA,50.5,NA,NA,NA,NA,NA,NA
1,Tulsa,Oklahoma State,FALSE,-14.9,11.5,-11.5,-3.4,NA,NA,61.5,NA,NA,NA,NA,NA,NA
1,South Florida,Florida International,FALSE,9.2,-12.5,12.5,-3.3,NA,NA,54.5,NA,NA,NA,NA,NA,NA
1,Duke,Tulane,FALSE,5.6,-8.5,8.5,-2.9,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,Eastern Michigan,San José State,FALSE,6.3,-3.5,3.5,2.8,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,Alabama,East Carolina,FALSE,27.6,-25.5,25.5,2.1,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,Wake Forest,Akron,FALSE,23.8,-22.5,22.5,1.3,NA,NA,49.5,NA,NA,NA,NA,NA,NA
1,Cincinnati,Boston College,FALSE,10.5,-9.5,9.5,1,NA,NA,54.5,NA,NA,NA,NA,NA,NA
1,West Virginia,Coastal Carolina,FALSE,17.6,-17.5,17.5,0.1,NA,NA,57.5,NA,NA,NA,NA,NA,NA
1,Florida,Florida Atlantic,FALSE,25.4,-25.5,25.5,-0.1,NA,NA,56.5,NA,NA,NA,NA,NA,NA
1,Rutgers,Massachusetts,FALSE,30.5,-30.5,30.5,0,NA,NA,54.5,NA,NA,NA,NA,NA,NA
1,Kentucky Christian,Kentucky Wesleyan,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Indianapolis,Marian (IN),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Seton Hill,East Stroudsburg,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,William Jewell,Fort Lewis,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Elizabeth City State,Fort Valley State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,BLUEFIELD,Erskine,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Missouri S&T,Westgate Christian University,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bethel University Tennessee,Lane College,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Sul Ross State,Wayland Baptist,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Tuskegee,West Alabama,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Montclair State,Merchant Marine,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Glenville State,Millersville,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Clarion,West Virginia Wesleyan,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,California (PA),Charleston (WV),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Fairmont State,Bloomsburg,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Assumption,Kutztown,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Carson Newman,Thomas,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Morehead State,Kentucky Christian,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Wayne State (MI),Northwood,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Olivet,Millikin,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
