week,kickoff,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
3,2026-09-20,Sacramento State,North Dakota State,FALSE,-0.5,25.75,-25.75,25.2,NA,NA,53.25,NA,NA,NA,NA,Sacramento State +25.8,"early-season (top-1 by edge, outside wk5+ window)"
3,2026-09-19,Toledo,Temple,FALSE,22.2,-4.5,4.5,17.7,NA,NA,51.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Clemson,North Carolina,FALSE,22.6,-6.25,6.25,16.4,NA,NA,44.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Texas Tech,Houston,FALSE,26.5,-11,11,15.5,NA,NA,53,NA,NA,NA,NA,NA,NA
3,2026-09-19,South Alabama,Ohio,FALSE,-10.8,-3.75,3.75,-14.6,NA,NA,53,NA,NA,NA,NA,NA,NA
3,2026-09-19,Rice,Western Michigan,FALSE,-25.9,11.75,-11.75,-14.1,NA,NA,44.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Jacksonville State,Georgia Southern,FALSE,16.5,-3,3,13.5,NA,NA,53,NA,NA,NA,NA,NA,NA
3,2026-09-19,Ole Miss,LSU,FALSE,12.7,0.75,-0.75,13.4,NA,NA,58,NA,NA,NA,NA,NA,NA
3,2026-09-19,Missouri State,Marshall,FALSE,-17.1,4.25,-4.25,-12.9,NA,NA,52.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Florida Atlantic,Florida International,FALSE,-4.2,-7.25,7.25,-11.4,NA,NA,62.5,NA,NA,NA,NA,NA,NA
3,2026-09-20,Arizona,Northern Illinois,FALSE,23.6,-35,35,-11.4,NA,NA,49.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Delaware,Coastal Carolina,FALSE,15.8,-4.75,4.75,11.1,NA,NA,58,NA,NA,NA,NA,NA,NA
3,2026-09-19,Utah,Utah State,FALSE,16.7,-27.75,27.75,-11.1,NA,NA,57.25,NA,NA,NA,NA,NA,NA
3,2026-09-19,Wisconsin,Eastern Michigan,FALSE,13.6,-24.5,24.5,-10.9,NA,NA,45.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Rutgers,USC,FALSE,-13.9,24.5,-24.5,10.6,NA,NA,57.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Indiana,Western Kentucky,FALSE,34.6,-44.25,44.25,-9.6,NA,NA,59.5,NA,NA,NA,NA,NA,NA
3,2026-09-20,San José State,Fresno State,FALSE,-16.5,7.25,-7.25,-9.2,NA,NA,51.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Arkansas,Georgia,FALSE,-29.7,21,-21,-8.7,NA,NA,53.25,NA,NA,NA,NA,NA,NA
3,2026-09-19,Colorado State,BYU,FALSE,-28.2,19.5,-19.5,-8.7,NA,NA,52.25,NA,NA,NA,NA,NA,NA
3,2026-09-20,San Diego State,James Madison,FALSE,-6.7,-2,2,-8.7,NA,NA,46.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Louisville,SMU,FALSE,-7,-1.25,1.25,-8.2,NA,NA,58,NA,NA,NA,NA,NA,NA
3,2026-09-19,Maryland,Virginia Tech,FALSE,5.7,2.5,-2.5,8.2,NA,NA,53.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Vanderbilt,NC State,FALSE,11.5,-4,4,7.5,NA,NA,53.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Texas A&M,Kentucky,FALSE,22.9,-15.75,15.75,7.1,NA,NA,48.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Auburn,Florida,FALSE,6.4,0.5,-0.5,6.9,NA,NA,53.25,NA,NA,NA,NA,NA,NA
3,2026-09-19,Penn State,Buffalo,FALSE,32.6,-39,39,-6.4,NA,NA,48,NA,NA,NA,NA,NA,NA
3,2026-09-19,Michigan,UTEP,FALSE,30.3,-36.75,36.75,-6.4,NA,NA,49.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Kansas State,Tulane,FALSE,13.8,-20,20,-6.2,NA,NA,49.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Cincinnati,Miami (OH),FALSE,8.9,-15,15,-6.1,NA,NA,50.25,NA,NA,NA,NA,NA,NA
3,2026-09-19,Old Dominion,East Carolina,FALSE,8.4,-2.75,2.75,5.7,NA,NA,49.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Alabama,Florida State,FALSE,12.5,-18,18,-5.5,NA,NA,50.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,South Carolina,Mississippi State,FALSE,10.5,-5.5,5.5,5,NA,NA,56.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Notre Dame,Michigan State,FALSE,34.6,-29.75,29.75,4.9,NA,NA,52.75,NA,NA,NA,NA,NA,NA
3,2026-09-20,Texas,UTSA,FALSE,24.9,-29.75,29.75,-4.9,NA,NA,57.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Iowa State,Bowling Green,FALSE,27.1,-22.75,22.75,4.4,NA,NA,45.75,NA,NA,NA,NA,NA,NA
3,2026-09-19,Northwestern,Colorado,FALSE,0.1,-4.5,4.5,-4.4,NA,NA,46.25,NA,NA,NA,NA,NA,NA
3,2026-09-19,Oklahoma,New Mexico,FALSE,27.8,-23.5,23.5,4.3,NA,NA,48.25,NA,NA,NA,NA,NA,NA
3,2026-09-19,Middle Tennessee,Nevada,FALSE,-1.8,6,-6,4.2,NA,NA,50.25,NA,NA,NA,NA,NA,NA
3,2026-09-19,Missouri,Troy,FALSE,23.1,-27.25,27.25,-4.1,NA,NA,49.5,NA,NA,NA,NA,NA,NA
3,2026-09-19,Baylor,Louisiana Tech,FALSE,14.7,-18.25,18.25,-3.6,NA,NA,55.25,NA,NA,NA,NA,NA,NA
3,2026-09-19,Liberty,Ball State,FALSE,17.3,-14.25,14.25,3.1,NA,NA,53.25,NA,NA,NA,NA,NA,NA
3,2026-09-19,Central Michigan,Wyoming,FALSE,-1,-2,2,-3,NA,NA,39.5,NA,NA,NA,NA,NA,NA
